Mağazalar,ID,Demand,Enlem,Boylam,Açılış,Kapanış
MERKEZ DEPO,0,0,40.84,29.44,0,24
Çamlıca,1,12,41.006055,29.069174,8,17
Optimum,2,6,40.988482,29.085266,8,11
Emaar,3,10,41.003463,29.071204,8,17
Tuzla Port,4,10,40.817107,29.299478,8,17
Canpark,5,8,41.024762,29.106184,7,17
MetroGarden,6,8,41.015628,29.179038,8,11
İstmarin,7,8,40.884596,29.20729,7,11
Kartal,8,10,40.897864,29.222186,8,10
Kaynarca,9,18,40.876212,29.263039,8,17
Kavacık,10,9,41.09195,29.093905,8,10
Beylikdüzü,11,26,41.005176,28.680956,8,16
Cevahir,12,10,41.062885,28.993096,7,11
Bostancı,13,10,40.96188,29.109498,8,24
Marmara Anatolium,14,5,40.918516,29.163502,7,17